"year","weights","gender","educ","urban","income_int_dol","income_quint","WORRIED","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY","HH_size","employment","hours_work","WP23","WP60","WP68","WP69","WP70","WP16","WP18","WP61","WP63","WP65","WP67"
2017,1.63144502287509,1,1,2,806.078094295714,2,0,0,0,0,0,0,0,0,4,NA,NA,1,3,2,1,2,12,12,3,1,2,1
2017,0.264907765249226,2,1,2,1074.77079239429,2,1,1,1,1,1,1,1,1,1,NA,NA,1,2,1,1,1,12,12,1,1,2,3
2017,1.55230015757674,1,1,2,2866.05544638476,4,0,0,0,0,0,0,0,0,3,1,4,2,1,2,2,2,6,7,1,1,2,1
2017,1.00822610624045,2,1,2,515.889980349257,1,1,1,1,1,1,1,1,1,5,NA,NA,2,2,2,2,2,1,3,1,2,2,2
2017,1.00822610624045,2,1,2,1433.02772319238,2,1,1,1,0,0,0,0,0,3,2,NA,1,2,1,1,2,1,2,2,2,2,2
2017,2.16343444737728,1,1,2,2456.61895404408,4,0,0,0,0,0,0,0,0,7,1,4,2,1,2,2,2,6,8,1,1,2,1
2017,1.65545464470244,2,1,2,1074.77079239429,2,0,0,0,0,0,0,0,NA,6,NA,NA,1,1,2,1,2,7,6,2,2,2,1
2017,0.739077272298742,1,3,2,1468.85341627219,3,0,1,1,0,0,0,0,0,6,NA,NA,1,1,2,2,2,5,7,1,1,1,1
2017,0.506018352333885,1,2,2,3761.69777338,5,1,0,0,0,0,0,0,0,2,NA,NA,1,2,1,1,2,5,12,1,2,2,1
2017,1.51233915936067,2,1,2,2149.54158478857,3,1,0,0,0,1,0,0,0,3,1,4,1,2,1,1,2,6,6,1,3,2,1
2017,1.22358376715632,1,1,2,1251.03320234695,2,1,1,1,1,1,1,1,1,5,NA,NA,1,1,1,1,1,1,1,1,2,2,2
2017,0.702580410015022,2,1,2,1862.93604015009,3,1,1,1,1,1,1,1,0,3,NA,NA,2,1,2,2,2,6,6,1,1,1,1
2017,0.625434392095801,2,2,4,2955.61967908428,4,0,0,1,0,1,0,0,0,4,1,5,2,2,1,1,1,6,11,1,1,1,2
